color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,genres
Color,Gore Verbinski,313.0,151.0,563.0,1000.0,Orlando Bloom,40000.0,423032628.0,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,Jack Davenport,2.0,1832.0,English,USA,PG-13,225000000.0,2006.0,5000.0,7.3,2.35,5000,Action
Color,Gore Verbinski,450.0,150.0,563.0,1000.0,Ruth Wilson,40000.0,89289910.0,Johnny Depp,The Lone Ranger ,181792,45757,Tom Wilkinson,1.0,711.0,English,USA,PG-13,215000000.0,2013.0,2000.0,6.5,2.35,48000,Action
Color,Zack Snyder,733.0,143.0,0.0,748.0,Christopher Meloni,15000.0,291021565.0,Henry Cavill,Man of Steel ,548573,20495,Harry Lennix,0.0,2536.0,English,USA,PG-13,225000000.0,2013.0,3000.0,7.2,2.35,118000,Action
Color,Andrew Adamson,258.0,150.0,80.0,201.0,Pierfrancesco Favino,22000.0,141614023.0,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,22697,Damián Alcázar,4.0,438.0,English,USA,PG,225000000.0,2008.0,216.0,6.6,2.35,0,Action
Color,Joss Whedon,703.0,173.0,0.0,19000.0,Robert Downey Jr.,26000.0,623279547.0,Chris Hemsworth,The Avengers ,995415,87697,Scarlett Johansson,3.0,1722.0,English,USA,PG-13,220000000.0,2012.0,21000.0,8.1,1.85,123000,Action
Color,Rob Marshall,448.0,136.0,252.0,1000.0,Sam Claflin,40000.0,241063875.0,Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704,54083,Stephen Graham,4.0,484.0,English,USA,PG-13,250000000.0,2011.0,11000.0,6.7,2.35,58000,Action
Color,Barry Sonnenfeld,451.0,106.0,188.0,718.0,Michael Stuhlbarg,10000.0,179020854.0,Will Smith,Men in Black 3 ,268154,12572,Nicole Scherzinger,1.0,341.0,English,USA,PG-13,225000000.0,2012.0,816.0,6.8,1.85,40000,Action
Color,Peter Jackson,422.0,164.0,0.0,773.0,Adam Brown,5000.0,255108370.0,Aidan Turner,The Hobbit: The Battle of the Five Armies ,354228,9152,James Nesbitt,0.0,802.0,English,New Zealand,PG-13,250000000.0,2014.0,972.0,7.5,2.35,65000,Adventure
Color,Marc Webb,599.0,153.0,464.0,963.0,Andrew Garfield,15000.0,262030663.0,Emma Stone,The Amazing Spider-Man ,451803,28489,Chris Zylka,0.0,1225.0,English,USA,PG-13,230000000.0,2012.0,10000.0,7.0,2.35,56000,Action
Color,Ridley Scott,343.0,156.0,0.0,738.0,William Hurt,891.0,105219735.0,Mark Addy,Robin Hood ,211765,3244,Scott Grimes,0.0,546.0,English,USA,PG-13,200000000.0,2010.0,882.0,6.7,2.35,17000,Action
Color,Peter Jackson,509.0,186.0,0.0,773.0,Adam Brown,5000.0,258355354.0,Aidan Turner,The Hobbit: The Desolation of Smaug ,483540,9152,James Nesbitt,6.0,951.0,English,USA,PG-13,225000000.0,2013.0,972.0,7.9,2.35,83000,Adventure
Color,Chris Weitz,251.0,113.0,129.0,1000.0,Eva Green,16000.0,70083519.0,Christopher Lee,The Golden Compass ,149019,24106,Kristin Scott Thomas,2.0,666.0,English,USA,PG-13,180000000.0,2007.0,6000.0,6.1,2.35,0,Adventure
Color,Peter Jackson,446.0,201.0,0.0,84.0,Thomas Kretschmann,6000.0,218051260.0,Naomi Watts,King Kong ,316018,7123,Evan Parke,0.0,2618.0,English,New Zealand,PG-13,207000000.0,2005.0,919.0,7.2,2.35,0,Action
Color,James Cameron,315.0,194.0,0.0,794.0,Kate Winslet,29000.0,658672302.0,Leonardo DiCaprio,Titanic ,793059,45223,Gloria Stuart,0.0,2528.0,English,USA,PG-13,200000000.0,1997.0,14000.0,7.7,2.35,26000,Drama
Color,Anthony Russo,516.0,147.0,94.0,11000.0,Scarlett Johansson,21000.0,407197282.0,Robert Downey Jr.,Captain America: Civil War ,272670,64798,Chris Evans,0.0,1022.0,English,USA,PG-13,250000000.0,2016.0,19000.0,8.2,2.35,72000,Action
Color,Peter Berg,377.0,131.0,532.0,627.0,Alexander Skarsgård,14000.0,65173160.0,Liam Neeson,Battleship ,202382,26679,Tadanobu Asano,0.0,751.0,English,USA,PG-13,209000000.0,2012.0,10000.0,5.9,2.35,44000,Action
Color,Colin Trevorrow,644.0,124.0,365.0,1000.0,Judy Greer,3000.0,652177271.0,Bryce Dallas Howard,Jurassic World ,418214,8458,Omar Sy,0.0,1290.0,English,USA,PG-13,150000000.0,2015.0,2000.0,7.0,2.0,150000,Action
Color,Sam Mendes,750.0,143.0,0.0,393.0,Helen McCrory,883.0,304360277.0,Albert Finney,Skyfall ,522030,2039,Rory Kinnear,0.0,1498.0,English,UK,PG-13,200000000.0,2012.0,563.0,7.8,2.35,80000,Action
Color,Sam Raimi,300.0,135.0,0.0,4000.0,James Franco,24000.0,373377893.0,J.K. Simmons,Spider-Man 2 ,411164,43388,Kirsten Dunst,1.0,1303.0,English,USA,PG-13,200000000.0,2004.0,11000.0,7.3,2.35,0,Action
Color,Shane Black,608.0,195.0,1000.0,3000.0,Jon Favreau,21000.0,408992272.0,Robert Downey Jr.,Iron Man 3 ,557489,30426,Don Cheadle,3.0,1187.0,English,USA,PG-13,200000000.0,2013.0,4000.0,7.2,2.35,95000,Action
Color,Tim Burton,451.0,108.0,13000.0,11000.0,Alan Rickman,40000.0,334185206.0,Johnny Depp,Alice in Wonderland ,306320,79957,Anne Hathaway,0.0,736.0,English,USA,PG,200000000.0,2010.0,25000.0,6.5,1.85,24000,Adventure
Color,Brett Ratner,334.0,104.0,420.0,560.0,Kelsey Grammer,20000.0,234360014.0,Hugh Jackman,X-Men: The Last Stand ,383427,21714,Daniel Cudmore,0.0,1912.0,English,Canada,PG-13,210000000.0,2006.0,808.0,6.8,2.35,0,Action
Color,Dan Scanlon,376.0,104.0,37.0,760.0,Tyler Labine,12000.0,268488329.0,Steve Buscemi,Monsters University ,235025,14863,Sean Hayes,0.0,265.0,English,USA,G,200000000.0,2013.0,779.0,7.3,1.85,44000,Adventure
Color,Michael Bay,366.0,150.0,0.0,464.0,Kevin Dunn,894.0,402076689.0,Glenn Morshower,Transformers: Revenge of the Fallen ,323207,3218,Ramon Rodriguez,0.0,1439.0,English,USA,PG-13,200000000.0,2009.0,581.0,6.0,2.35,0,Action
Color,Michael Bay,378.0,165.0,0.0,808.0,Sophia Myles,974.0,245428137.0,Bingbing Li,Transformers: Age of Extinction ,242420,3988,Kelsey Grammer,2.0,918.0,English,USA,PG-13,210000000.0,2014.0,956.0,5.7,2.35,56000,Action
Color,Sam Raimi,525.0,130.0,0.0,11000.0,Mila Kunis,44000.0,234903076.0,Tim Holmes,Oz the Great and Powerful ,175409,73441,James Franco,4.0,511.0,English,USA,PG,215000000.0,2013.0,15000.0,6.4,2.35,60000,Adventure
Color,Marc Webb,495.0,142.0,464.0,825.0,Andrew Garfield,15000.0,202853933.0,Emma Stone,The Amazing Spider-Man 2 ,321227,28631,B.J. Novak,0.0,1067.0,English,USA,PG-13,200000000.0,2014.0,10000.0,6.7,2.35,41000,Action
Color,Joseph Kosinski,469.0,125.0,364.0,1000.0,Olivia Wilde,12000.0,172051787.0,Jeff Bridges,TRON: Legacy ,264183,25550,James Frain,0.0,665.0,English,USA,PG,170000000.0,2010.0,10000.0,6.8,2.35,30000,Action
Color,John Lasseter,304.0,106.0,487.0,776.0,Thomas Kretschmann,1000.0,191450875.0,Joe Mantegna,Cars 2 ,101178,4482,Eddie Izzard,0.0,283.0,English,USA,G,200000000.0,2011.0,919.0,6.3,2.35,10000,Adventure
Color,Martin Campbell,436.0,123.0,258.0,326.0,Temuera Morrison,16000.0,116593191.0,Ryan Reynolds,Green Lantern ,223393,17657,Taika Waititi,2.0,550.0,English,USA,PG-13,200000000.0,2011.0,368.0,5.6,2.35,24000,Action
Color,Lee Unkrich,453.0,103.0,125.0,721.0,John Ratzenberger,15000.0,414984497.0,Tom Hanks,Toy Story 3 ,544884,19085,Don Rickles,3.0,733.0,English,USA,G,200000000.0,2010.0,1000.0,8.3,1.85,30000,Adventure
Color,McG,422.0,118.0,368.0,988.0,Bryce Dallas Howard,23000.0,125320003.0,Christian Bale,Terminator Salvation ,286095,27468,Common,0.0,974.0,English,USA,PG-13,200000000.0,2009.0,3000.0,6.6,2.35,0,Action
Color,James Wan,424.0,140.0,0.0,14000.0,Paul Walker,26000.0,350034110.0,Jason Statham,Furious 7 ,278232,79150,Vin Diesel,0.0,657.0,English,USA,PG-13,190000000.0,2015.0,23000.0,7.2,2.35,94000,Action
Color,Marc Forster,654.0,123.0,395.0,1000.0,Brad Pitt,17000.0,202351611.0,Peter Capaldi,World War Z ,465019,32392,Mireille Enos,0.0,995.0,English,USA,PG-13,190000000.0,2013.0,11000.0,7.0,2.35,129000,Action
Color,Bryan Singer,539.0,149.0,0.0,20000.0,Peter Dinklage,34000.0,233914986.0,Jennifer Lawrence,X-Men: Days of Future Past ,514125,91434,Hugh Jackman,7.0,752.0,English,USA,PG-13,200000000.0,2014.0,22000.0,8.0,2.35,82000,Action
Color,J.J. Abrams,590.0,132.0,14000.0,928.0,Bruce Greenwood,19000.0,228756232.0,Benedict Cumberbatch,Star Trek Into Darkness ,395573,21411,Noel Clarke,0.0,1171.0,English,USA,PG-13,190000000.0,2013.0,981.0,7.8,2.35,92000,Action
Color,Bryan Singer,338.0,114.0,0.0,140.0,Ewen Bremner,979.0,65171860.0,Eddie Marsan,Jack the Giant Slayer ,106416,1766,Ralph Brown,1.0,205.0,English,USA,PG-13,195000000.0,2013.0,557.0,6.3,2.35,22000,Adventure
Color,Baz Luhrmann,490.0,143.0,1000.0,77.0,Elizabeth Debicki,29000.0,144812796.0,Leonardo DiCaprio,The Great Gatsby ,362912,29770,Steve Bisley,4.0,753.0,English,Australia,PG-13,105000000.0,2013.0,509.0,7.3,2.35,115000,Drama
Color,Mike Newell,306.0,116.0,179.0,236.0,Richard Coyle,15000.0,90755643.0,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,222403,16149,Reece Ritchie,2.0,453.0,English,USA,PG-13,200000000.0,2010.0,567.0,6.6,2.35,23000,Action
Color,Guillermo del Toro,575.0,131.0,0.0,919.0,Clifton Collins Jr.,16000.0,101785482.0,Charlie Hunnam,Pacific Rim ,381148,19166,Larry Joe Campbell,0.0,1106.0,English,USA,PG-13,190000000.0,2013.0,968.0,7.0,1.85,83000,Action
Color,Michael Bay,428.0,154.0,0.0,581.0,Lester Speight,894.0,352358779.0,Glenn Morshower,Transformers: Dark of the Moon ,326180,2593,Kevin Dunn,2.0,899.0,English,USA,PG-13,195000000.0,2011.0,829.0,6.3,2.35,46000,Action
Color,Steven Spielberg,470.0,122.0,14000.0,1000.0,Ray Winstone,11000.0,317011114.0,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,Jim Broadbent,2.0,2054.0,English,USA,PG-13,185000000.0,2008.0,1000.0,6.2,2.35,5000,Action
Color,Mark Andrews,488.0,93.0,56.0,838.0,John Ratzenberger,2000.0,237282182.0,Kelly Macdonald,Brave ,273556,5005,Julie Walters,0.0,428.0,English,USA,PG,185000000.0,2012.0,1000.0,7.2,2.35,39000,Adventure
Color,Justin Lin,322.0,122.0,681.0,105.0,Melissa Roxburgh,998.0,130468626.0,Sofia Boutella,Star Trek Beyond ,53607,1327,Lydia Wilson,4.0,432.0,English,USA,PG-13,185000000.0,2016.0,119.0,7.5,2.35,30000,Action
Color,Andrew Stanton,421.0,98.0,475.0,522.0,Fred Willard,1000.0,223806889.0,John Ratzenberger,WALL·E ,718837,2975,Jeff Garlin,0.0,1043.0,English,USA,G,180000000.0,2008.0,729.0,8.4,2.35,16000,Adventure
Color,Brett Ratner,162.0,91.0,420.0,173.0,Dana Ivey,268.0,140080850.0,Tzi Ma,Rush Hour 3 ,121084,1125,Noémie Lenoir,2.0,221.0,English,USA,PG-13,140000000.0,2007.0,268.0,6.2,2.35,0,Action
Color,Roland Emmerich,367.0,158.0,776.0,310.0,Liam James,1000.0,166112167.0,Oliver Platt,2012 ,283418,2144,Tom McCarthy,0.0,1055.0,English,USA,PG-13,200000000.0,2009.0,468.0,5.8,2.35,13000,Action
Color,Robert Zemeckis,240.0,96.0,0.0,10000.0,Colin Firth,18000.0,137850096.0,Robin Wright,A Christmas Carol ,72809,48878,Gary Oldman,0.0,249.0,English,USA,PG,200000000.0,2009.0,14000.0,6.8,2.35,0,Animation
Color,Lana Wachowski,384.0,127.0,0.0,13000.0,Mila Kunis,17000.0,47375327.0,Channing Tatum,Jupiter Ascending ,139593,47334,Eddie Redmayne,1.0,720.0,English,USA,PG-13,176000000.0,2015.0,15000.0,5.4,2.35,44000,Action
Color,David Yates,248.0,110.0,282.0,103.0,Alexander Skarsgård,11000.0,124051759.0,Christoph Waltz,The Legend of Tarzan ,42372,21175,Casper Crump,2.0,239.0,English,USA,PG-13,180000000.0,2016.0,10000.0,6.6,2.35,29000,Action
Color,Andrew Adamson,284.0,150.0,80.0,82.0,Kiran Shah,1000.0,291709845.0,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,Shane Rangi,5.0,1463.0,English,USA,PG,180000000.0,2005.0,190.0,6.9,2.35,0,Adventure
Color,Bryan Singer,396.0,144.0,0.0,1000.0,Michael Fassbender,34000.0,154985087.0,Jennifer Lawrence,X-Men: Apocalypse ,148379,49684,Tye Sheridan,6.0,622.0,English,USA,PG-13,178000000.0,2016.0,13000.0,7.3,2.35,54000,Action
Color,Christopher Nolan,645.0,152.0,22000.0,11000.0,Heath Ledger,23000.0,533316061.0,Christian Bale,The Dark Knight ,1676169,57802,Morgan Freeman,0.0,4667.0,English,USA,PG-13,185000000.0,2008.0,13000.0,9.0,2.35,37000,Action
Color,Pete Docter,408.0,96.0,0.0,262.0,Delroy Lindo,1000.0,292979556.0,John Ratzenberger,Up ,665575,2635,Jess Harnell,1.0,704.0,English,USA,PG,175000000.0,2009.0,848.0,8.3,1.85,27000,Adventure
Color,Rob Letterman,219.0,94.0,11.0,459.0,Rainn Wilson,1000.0,198332128.0,Amy Poehler,Monsters vs. Aliens ,114553,2579,Stephen Colbert,2.0,187.0,English,USA,PG,175000000.0,2009.0,973.0,6.5,2.35,0,Action
Color,Jon Favreau,486.0,126.0,4000.0,4000.0,Jeff Bridges,21000.0,318298180.0,Robert Downey Jr.,Iron Man ,696338,39252,Jon Favreau,3.0,1055.0,English,USA,PG-13,140000000.0,2008.0,12000.0,7.9,2.35,10000,Action
Color,Martin Scorsese,682.0,126.0,17000.0,1000.0,Christopher Lee,17000.0,73820094.0,Chloë Grace Moretz,Hugo ,245333,36017,Ray Winstone,0.0,678.0,English,USA,PG,170000000.0,2011.0,16000.0,7.5,1.85,42000,Adventure
Color,Barry Sonnenfeld,85.0,106.0,188.0,582.0,Salma Hayek,10000.0,113745408.0,Will Smith,Wild Wild West ,129601,15870,Bai Ling,2.0,648.0,English,USA,PG-13,170000000.0,1999.0,4000.0,4.8,1.85,0,Action
Color,Rob Cohen,264.0,112.0,357.0,595.0,Brendan Fraser,5000.0,102176165.0,Jet Li,The Mummy: Tomb of the Dragon Emperor ,117927,9131,Russell Wong,2.0,501.0,English,USA,PG-13,145000000.0,2008.0,3000.0,5.2,2.35,0,Action
Color,David Ayer,418.0,123.0,452.0,329.0,Robin Atkin Downes,10000.0,161087183.0,Will Smith,Suicide Squad ,118992,11287,Ike Barinholtz,8.0,971.0,English,USA,PG-13,175000000.0,2016.0,336.0,6.9,2.35,80000,Action
Color,Tom Shadyac,186.0,96.0,293.0,7000.0,Morgan Freeman,87000.0,100289690.0,Jimmy Bennett,Evan Almighty ,115099,108016,Steve Carell,0.0,257.0,English,USA,PG,175000000.0,2007.0,11000.0,5.4,2.35,2000,Comedy
Color,Doug Liman,585.0,113.0,218.0,509.0,Lara Pulver,10000.0,100189501.0,Tom Cruise,Edge of Tomorrow ,431620,12652,Noah Taylor,1.0,741.0,English,USA,PG-13,178000000.0,2014.0,854.0,7.9,2.35,77000,Action
Color,Kevin Reynolds,91.0,176.0,58.0,60.0,Rick Aviles,711.0,88246220.0,Jeanne Tripplehorn,Waterworld ,144337,1004,Zakes Mokae,0.0,309.0,English,USA,PG-13,175000000.0,1995.0,60.0,6.1,1.85,0,Action
Color,Stephen Sommers,250.0,118.0,208.0,570.0,Dennis Quaid,23000.0,150167630.0,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,174578,26683,Leo Howard,4.0,534.0,English,USA,PG-13,175000000.0,2009.0,2000.0,5.8,2.35,0,Action
Color,Pete Docter,536.0,95.0,0.0,384.0,Mindy Kaling,1000.0,356454367.0,Amy Poehler,Inside Out ,345198,2944,Phyllis Smith,1.0,773.0,English,USA,PG,175000000.0,2015.0,767.0,8.3,1.85,118000,Adventure
Color,Jon Favreau,370.0,106.0,4000.0,591.0,Bill Murray,19000.0,362645141.0,Scarlett Johansson,The Jungle Book ,106072,32921,Garry Shandling,0.0,398.0,English,UK,PG,175000000.0,2016.0,13000.0,7.8,1.85,65000,Adventure
Color,Jon Favreau,453.0,124.0,4000.0,4000.0,Scarlett Johansson,21000.0,312057433.0,Robert Downey Jr.,Iron Man 2 ,522371,48638,Jon Favreau,4.0,723.0,English,USA,PG-13,200000000.0,2010.0,19000.0,7.0,2.35,18000,Action
Color,Rupert Sanders,416.0,132.0,274.0,11000.0,Kristen Stewart,26000.0,155111815.0,Chris Hemsworth,Snow White and the Huntsman ,228554,72881,Sam Claflin,0.0,710.0,English,USA,PG-13,170000000.0,2012.0,17000.0,6.1,2.35,53000,Action
Color,Robert Stromberg,401.0,97.0,171.0,846.0,Sharlto Copley,11000.0,241407328.0,Angelina Jolie Pitt,Maleficent ,252257,15516,Sam Riley,2.0,634.0,English,USA,PG,180000000.0,2014.0,2000.0,7.0,2.35,89000,Action
Color,Matt Reeves,521.0,130.0,198.0,884.0,Judy Greer,10000.0,208543795.0,Gary Oldman,Dawn of the Planet of the Apes ,317542,14363,Kodi Smit-McPhee,0.0,620.0,English,USA,PG-13,170000000.0,2014.0,2000.0,7.6,1.85,45000,Action
Color,Carl Rinsch,218.0,128.0,47.0,982.0,Cary-Hiroyuki Tagawa,18000.0,38297305.0,Keanu Reeves,47 Ronin ,116994,20965,Jin Akanishi,2.0,324.0,English,USA,PG-13,175000000.0,2013.0,1000.0,6.3,2.35,35000,Action
Color,Anthony Russo,576.0,136.0,94.0,2000.0,Chris Evans,19000.0,259746958.0,Scarlett Johansson,Captain America: The Winter Soldier ,496749,36188,Hayley Atwell,1.0,742.0,English,USA,PG-13,170000000.0,2014.0,11000.0,7.8,2.35,55000,Action
Color,Mike Mitchell,226.0,93.0,31.0,213.0,Kathy Griffin,4000.0,238371987.0,Jon Hamm,Shrek Forever After ,138661,4628,Mary Kay Place,2.0,173.0,English,USA,PG,165000000.0,2010.0,225.0,6.4,2.35,0,Adventure
Color,Brad Bird,443.0,130.0,663.0,604.0,Chris Bauer,2000.0,93417865.0,Judy Greer,Tomorrowland ,128306,5046,Thomas Robinson,2.0,497.0,English,USA,PG,190000000.0,2015.0,638.0,6.5,2.2,37000,Action
Color,Don Hall,384.0,102.0,38.0,562.0,Daniel Henney,756.0,222487711.0,Damon Wayans Jr.,Big Hero 6 ,279093,2963,Abraham Benrubi,0.0,433.0,English,USA,PG,165000000.0,2014.0,719.0,7.9,2.39,41000,Action
Color,Rich Moore,377.0,101.0,66.0,833.0,Sarah Silverman,975.0,189412677.0,Jack McBrayer,Wreck-It Ralph ,272534,4451,Joe Lo Truglio,1.0,345.0,English,USA,PG,165000000.0,2012.0,931.0,7.8,2.35,40000,Adventure
Color,Robert Zemeckis,188.0,100.0,0.0,267.0,Eddie Deezen,15000.0,665426.0,Tom Hanks,The Polar Express ,120798,16264,Peter Scolari,0.0,444.0,English,USA,G,165000000.0,2004.0,726.0,6.6,2.35,10000,Adventure
Color,Roland Emmerich,286.0,120.0,776.0,535.0,Sela Ward,890.0,102315545.0,Vivica A. Fox,Independence Day: Resurgence ,58137,3233,Judd Hirsch,0.0,520.0,English,USA,PG-13,165000000.0,2016.0,812.0,5.5,2.35,67000,Action
Color,Dean DeBlois,288.0,98.0,255.0,759.0,America Ferrera,18000.0,217387997.0,Gerard Butler,How to Train Your Dragon ,485430,20453,Craig Ferguson,0.0,492.0,English,USA,PG,165000000.0,2010.0,953.0,8.2,2.35,33000,Adventure
Color,Jonathan Mostow,280.0,109.0,84.0,191.0,M.C. Gainey,648.0,150350192.0,Nick Stahl,Terminator 3: Rise of the Machines ,305340,1769,Carolyn Hennesy,0.0,1676.0,English,USA,R,200000000.0,2003.0,284.0,6.4,2.35,0,Action
Color,James Gunn,653.0,121.0,571.0,3000.0,Vin Diesel,14000.0,333130696.0,Bradley Cooper,Guardians of the Galaxy ,682155,32438,Djimon Hounsou,3.0,1097.0,English,USA,PG-13,170000000.0,2014.0,14000.0,8.1,2.35,96000,Action
Color,Christopher Nolan,712.0,169.0,22000.0,6000.0,Anne Hathaway,11000.0,187991439.0,Matthew McConaughey,Interstellar ,928227,31488,Mackenzie Foy,1.0,2725.0,English,USA,PG-13,165000000.0,2014.0,11000.0,8.6,2.35,349000,Adventure
Color,Christopher Nolan,642.0,148.0,22000.0,23000.0,Tom Hardy,29000.0,292568851.0,Leonardo DiCaprio,Inception ,1468200,81115,Joseph Gordon-Levitt,0.0,2803.0,English,USA,PG-13,160000000.0,2010.0,27000.0,8.8,2.35,175000,Action
Color,Rob Cohen,187.0,106.0,357.0,4000.0,Vin Diesel,23000.0,144512310.0,Paul Walker,The Fast and the Furious ,272223,45327,Jordana Brewster,2.0,988.0,English,USA,PG-13,38000000.0,2001.0,14000.0,6.7,2.35,14000,Action
Color,David Fincher,362.0,166.0,21000.0,919.0,Jason Flemyng,11000.0,127490802.0,Brad Pitt,The Curious Case of Benjamin Button ,459346,13333,Julia Ormond,2.0,822.0,English,USA,PG-13,150000000.0,2008.0,1000.0,7.8,2.35,23000,Drama
Color,Matthew Vaughn,500.0,132.0,905.0,1000.0,Michael Fassbender,34000.0,146405371.0,Jennifer Lawrence,X-Men: First Class ,518537,50983,Oliver Platt,3.0,698.0,English,USA,PG-13,160000000.0,2011.0,13000.0,7.8,2.35,54000,Action
Color,Francis Lawrence,389.0,137.0,508.0,14000.0,Philip Seymour Hoffman,34000.0,281666058.0,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2 ,166137,81385,Josh Hutcherson,1.0,383.0,English,USA,PG-13,160000000.0,2015.0,22000.0,6.6,2.35,38000,Adventure
Color,Jon Turteltaub,235.0,109.0,226.0,370.0,Omar Benson Miller,12000.0,63143812.0,Nicolas Cage,The Sorcerer's Apprentice ,124185,13388,Robert Capron,0.0,238.0,English,USA,PG,150000000.0,2010.0,418.0,6.1,2.35,11000,Action
Color,Wolfgang Petersen,231.0,98.0,249.0,702.0,Mike Vogel,87000.0,60655503.0,Jimmy Bennett,Poseidon ,82380,92456,Andre Braugher,0.0,629.0,English,USA,PG-13,160000000.0,2006.0,2000.0,5.6,2.35,0,Action
Color,James Bobin,218.0,113.0,33.0,11000.0,Alan Rickman,40000.0,76846624.0,Johnny Depp,Alice Through the Looking Glass ,21352,80806,Anne Hathaway,1.0,131.0,English,USA,PG,170000000.0,2016.0,25000.0,6.4,1.85,30000,Adventure
Color,Chris Miller,227.0,93.0,50.0,692.0,Eric Idle,3000.0,320706665.0,Justin Timberlake,Shrek the Third ,211971,4705,Rupert Everett,2.0,326.0,English,USA,PG,160000000.0,2007.0,795.0,6.1,1.85,0,Adventure
Color,Duncan Jones,275.0,123.0,0.0,648.0,Callum Rennie,3000.0,46978995.0,Dominic Cooper,Warcraft ,111609,5505,Ruth Negga,0.0,781.0,English,USA,PG-13,160000000.0,2016.0,716.0,7.3,2.35,89000,Action
